kommuneId,navn,antall,Ap,Frp,H,KrF,MDG,R,Sp,SV,V,A
1845,Sørfold,1065,32.58215962,0,11.92488263,0,0,5.258215962,42.15962441,8.075117371,0,0
1848,Steigen,1436,17.27019499,6.685236769,7.729805014,0,0,5.08356546,40.80779944,16.43454039,5.988857939,0
1851,Lødingen,1151,31.19026933,18.41876629,15.98609904,0,0,0,17.28931364,13.29278888,3.822762815,0
1853,Evenes - Evenássi,841,25.921522,3.448275862,23.06777646,0,0,0,17.36028537,3.448275862,0,26.75386445
1856,Røst,336,0,0,0,0,0,0,0,0,0,100
1857,Værøy,419,25.53699284,0,0,22.19570406,0,0,8.830548926,0,0,43.43675418
1859,Flakstad,669,22.122571,0,0,0,0,0,45.73991031,12.70553064,0,19.43198804
1860,Vestvågøy,5235,24.75644699,15.43457498,10.73543457,6.055396371,3.075453677,2.731614136,29.45558739,5.635148042,1.298949379,0.82139446
1865,Vågan,4297,23.03932976,5.003490808,29.39259949,0,3.839888294,8.284849895,15.28973703,9.937165464,5.21293926,0
1866,Hadsel,3912,16.53885481,5.598159509,11.400818,0,3.297546012,6.927402863,26.27811861,4.166666667,10.91513292,14.87730061
1867,Bø (Nordland),1550,8,4.064516129,57.5483871,0,0,0,21.03225806,5.741935484,3.612903226,0
1868,Øksnes,2151,25.29056253,9.90237099,8.321710832,3.347280335,0,1.859600186,36.30869363,7.345420735,7.624360762,0
1870,Sortland - Suortá,4983,17.35902067,6.803130644,25.9080875,1.304435079,2.809552478,8.970499699,26.51013446,8.649407987,0.903070439,0.782661048
1871,Andøy,2682,12.90082028,4.213273676,5.741983594,2.348993289,7.196122297,1.976137211,56.00298285,9.619686801,0,0
1874,Moskenes,471,0,0,0,0,0,0,0,15.92356688,0,84.07643312
1875,Hamarøy,1580,22.27848101,7.405063291,25.12658228,0,0,0,30.37974684,7.974683544,6.835443038,0
5501,Tromsø,37649,18.88496374,8.584557359,15.5170124,2.090360966,7.373369811,5.160827645,10.95115408,16.04026667,3.147493957,12.24999336
5503,Harstad,11888,29.91251682,13.1897712,17.93405114,2.161843876,4.920928668,4.012449529,17.80787349,6.216352624,3.583445491,0.26076716
5601,Alta,8619,23.83107089,19.09734308,8.051978188,3.863557257,4.118807286,6.868546235,14.38681982,9.792319295,8.980160111,1.009397842
5634,Vardø,1062,40.48964218,0,7.062146893,0,23.16384181,0,20.62146893,6.967984934,1.694915254,0
5607,Vadsø,2941,31.11186671,0,24.20945257,1.972118327,5.406324379,4.590275417,19.44916695,13.26079565,0,0
5603,Hammerfest,5173,49.77769186,5.0067659,6.205296733,9.356272956,2.880340228,4.832785618,9.820220375,12.12062633,0,0
5510,Kvæfjord,1461,34.90759754,0,0,0,0,0,28.61054073,10.6091718,6.36550308,19.50718686
5512,Tjeldsund,2202,36.6030881,7.992733878,27.61126249,0,0,3.36058129,12.85195277,5.994550409,0,5.585831063
5514,Ibestad,814,29.36117936,0,51.35135135,0,0,0,19.28746929,0,0,0
5516,Gratangen,567,23.28042328,0,0,0,0,0,46.20811287,0,0,30.51146384
5518,Loabák - Lavangen,579,43.69602763,0,22.45250432,0,0,0,33.85146805,0,0,0
5520,Bardu,2150,19.72093023,3.11627907,10.74418605,0,0,0,62.88372093,0,3.534883721,0
5522,Salangen,1139,25.8999122,0,16.41791045,3.160667252,0,0,46.61984197,7.90166813,0,0
5524,Målselv,3338,29.23906531,3.774715398,7.908927501,0,0,3.205512283,46.64469742,3.74475734,5.482324745,0
5526,Sørreisa,1702,51.35135135,2.820211516,4.171562867,2.643948296,0,0,19.38895417,4.4653349,0,15.1586369
5528,Dyrøy,666,39.63963964,9.90990991,7.357357357,0,0,0,35.13513514,7.957957958,0,0
5530,Senja,6989,28.43039061,6.93947632,16.62612677,3.076262699,2.503934755,0,23.96623265,5.236800687,1.33066247,11.89011303
5532,Balsfjord,2784,27.26293103,10.99137931,20.76149425,2.586206897,2.981321839,3.448275862,28.26867816,2.550287356,0,1.149425287
5534,Karlsøy,1187,16.76495366,14.40606571,2.443133951,0,0,0,28.81213142,9.01432182,0,28.55939343
5536,Lyngen,1650,17.63636364,4.96969697,13.21212121,14.84848485,6.303030303,0,11.87878788,0,0,31.15151515
5538,Storfjord - Omasvuotna - Omasvuono,1108,13.44765343,2.25631769,31.22743682,0,7.310469314,0,7.400722022,0,0,38.35740072
5540,Gáivuotna - Kåfjord - Kaivuono,1123,43.45503117,7.747105966,4.719501336,12.11041852,6.589492431,0,25.37845058,0,0,0
5542,Skjervøy,1430,12.16783217,13.63636364,7.482517483,32.93706294,0,0,25.73426573,0,0,8.041958042
5544,Nordreisa,2359,21.36498516,13.81941501,19.62696058,9.114031369,0,0,24.62908012,11.44552777,0,0
5546,Kvænangen,660,38.48484848,0,0,0,0,0,24.24242424,10.90909091,0,26.36363636
5612,Guovdageaidnu - Kautokeino,1446,11.75656985,0,6.43153527,0,0,0,15.14522822,2.489626556,10.1659751,54.01106501
5614,Loppa,535,36.44859813,0,21.12149533,0,0,0,29.1588785,13.27102804,0,0
5616,Hasvik,496,60.08064516,0,20.36290323,0,0,0,19.55645161,0,0,0
5618,Måsøy,608,39.96710526,0,20.55921053,0,0,7.730263158,31.74342105,0,0,0
5620,Nordkapp,1779,17.81899944,0,14.55874087,0,0.84317032,0,29.73580663,37.04328274,0,0
5622,Porsanger - Porsángu - Porsanki,2108,26.13851992,3.795066414,24.14611006,0,0,1.802656546,16.93548387,8.870967742,1.518026565,16.79316888
5610,Kárásjohka - Karasjok,1459,36.32625086,0,3.701165182,0,0,0,29.47224126,0,0,30.5003427
5624,Lebesby,715,45.17482517,0,7.832167832,0,0,0,26.43356643,10.62937063,0,9.93006993
5626,Gamvik,596,47.14765101,5.369127517,0,0,0,0,12.75167785,32.55033557,0,2.181208054
5630,Berlevåg,541,48.05914972,0,18.85397412,0,0,0,10.90573013,22.18114603,0,0
5628,Deatnu - Tana,1664,39.78365385,7.391826923,6.490384615,0,0,0,19.47115385,6.25,9.014423077,11.59855769
5636,Unjárga - Nesseby,592,45.43918919,0,8.277027027,0,0,0,20.94594595,7.601351351,0,17.73648649
5632,Båtsfjord,1117,34.01969561,0,17.99462847,0,0,0,47.98567592,0,0,0
5605,Sør-Varanger,4766,38.41796055,4.553084347,15.71548468,0,3.65086026,4.154427193,22.4506924,9.651699538,1.40579102,0
